0,7.0,5.0,1.0,4.0,1.0,1.0,4.0,1.0,7.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,14.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,13.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
1,12.0,4.0,0.0,2.0,0.0,0.0,3.0,1.0,9.0,4.0,3.0,0.0,1.0,0.0,1.0,2.0,17.0,2.0,2.0,5.0,0.0,2.0,1.0,1.0,14.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,23.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
2,12.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,9.0,3.0,5.0,0.0,1.0,0.0,1.0,4.0,12.0,1.0,7.0,3.0,2.0,1.0,0.0,2.0,10.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,12.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,18.0
3,6.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,7.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,13.0,0.0,1.0,5.0,0.0,2.0,1.0,0.0,8.0,2.0,5.0,4.0,3.0,1.0,2.0,0.0,12.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,13.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,18.0
4,11.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0,9.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,14.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,14.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,9.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,18.0
5,6.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,2.0,0.0,1.0,0.0,1.0,2.0,8.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,11.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,2.0,1.0,4.0,0.0,0.0,5.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,18.0
6,10.0,2.0,2.0,6.0,0.0,2.0,4.0,2.0,10.0,5.0,3.0,1.0,2.0,0.0,2.0,2.0,17.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,12.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,9.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,13.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,18.0
7,6.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,18.0
8,17.0,4.0,1.0,3.0,0.0,0.0,3.0,2.0,9.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,22.0,1.0,3.0,3.0,1.0,3.0,0.0,1.0,16.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,12.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,18.0
9,12.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,10.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,15.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,15.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,18.0
